Id2,AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
17031831400,       2104290,             0,+41.8691188,-087.7560884
17031831500,        968252,             0,+41.9276414,-087.7880224
17031831600,       1488845,             0,+41.9256105,-087.7976148
17031831700,        532279,             0,+41.9526506,-087.7452551
17031831800,       1903565,             0,+41.9782333,-087.7164527
17031831900,        324325,             0,+41.9451690,-087.6687907
17031832000,        167584,             0,+41.9462941,-087.6542982
17031832100,        222089,             0,+41.9528214,-087.6532413
17031832200,        399381,             0,+41.9204779,-087.6799729
17031832300,        840145,             0,+41.9192070,-087.6714488
17031832400,        323051,             0,+41.9157411,-087.6922565
17031832500,        783013,             0,+41.9218778,-087.6641184
17031832600,        721627,             0,+41.9147492,-087.6540551
17031832900,        401291,             0,+41.8741753,-087.6618908
17031833000,       1312658,             0,+41.8852883,-087.6572425
17031833100,        922169,             0,+41.8790768,-087.6570454
17031833300,        477825,             0,+41.8716913,-087.6541251
17031833900,        682191,         24124,+41.7310321,-087.5474226
17031834000,        988763,             0,+41.7275358,-087.6294984
17031834200,        975449,             0,+41.7555676,-087.5836069
17031834300,       1909305,             0,+41.7458444,-087.5917742
17031834400,        585567,             0,+41.7769448,-087.5963097
17031834500,        464133,             0,+41.7860320,-087.6253618
17031834600,       1562247,             0,+41.7872465,-087.6343057
17031834700,        657991,             0,+41.7906903,-087.6450334
17031834800,        600485,             0,+41.7836302,-087.6450879
17031834900,        652721,             0,+41.7722940,-087.6567344
17031835000,       1004080,             0,+41.7828495,-087.6860492
17031835100,       1003896,             0,+41.7901576,-087.6862480
17031835200,        988538,             0,+41.7966437,-087.7452866
17031835500,        914488,             0,+41.8163539,-087.6325419
17031835600,        917536,             0,+41.8018352,-087.6322013
17031835700,        190189,             0,+41.8128443,-087.6275978
17031835800,        284425,             0,+41.8130462,-087.6187192
17031835900,        647444,             0,+41.8201664,-087.6214989
17031836000,        505739,             0,+41.8140036,-087.6116843
17031836100,        860471,             0,+41.7998052,-087.6186826
17031836200,        813722,             0,+41.7904691,-087.6012848
17031836300,        137519,             0,+41.8015323,-087.6017584
17031836400,        799110,        866999,+41.8184550,-087.5944559
17031836500,        470861,        469614,+41.8259463,-087.5994560
17031836600,        634176,             0,+41.8986973,-087.7088059
17031836700,       1227837,             0,+41.8917041,-087.7021747
17031836800,        801878,         14139,+41.8850903,-087.7149666
17031836900,        164712,             0,+41.8818831,-087.7061362
17031837000,        412543,             0,+41.8783233,-087.6986739
17031837100,        745299,             0,+41.8856737,-087.6987210
17031837300,        368497,             0,+41.8716191,-087.7055524
17031837400,        591449,             0,+41.8759745,-087.6938013
17031837800,       1005499,             0,+41.8847501,-087.6841274
17031838000,        537835,             0,+41.8773642,-087.6806502
17031838100,        822113,             0,+41.8786651,-087.6716805
17031838200,       1157564,             0,+41.8704157,-087.6750794
17031838300,        348133,             0,+41.9015665,-087.6384038
17031838600,        246252,             0,+41.8678233,-087.7008236
17031838700,        658084,             0,+41.8625775,-087.7201851
17031838800,      17837439,       3802983,+41.6834042,-087.5740611
17031839000,        516458,             0,+41.8710442,-087.6314045
17031839100,       1186061,             0,+41.8810267,-087.6327464
17031839200,        650885,             0,+41.8420107,-087.6220360
17031839500,        262522,             0,+41.8340974,-087.6192895
17031839600,        326898,             0,+41.8274411,-087.6192495
17031839700,        648635,             0,+41.8330799,-087.6523571
17031839800,        266173,             0,+41.8350674,-087.6431623
17031839900,       1179551,             0,+41.8271230,-087.6487068
17031840000,        591628,             0,+41.8311662,-087.6382989
17031840100,        335806,             0,+41.8418680,-087.6392003
17031840200,        831087,             0,+41.8445748,-087.6491915
17031840300,        831224,             0,+41.8320943,-087.6818822
17031840400,        982639,             0,+41.8338479,-087.6676795
17031840700,        541526,             0,+41.8529302,-087.6942665
17031840800,        328682,             0,+41.8408329,-087.7073710
17031841000,       1056583,        296565,+41.8475875,-087.6102063
17031841100,       1143247,             0,+41.8510058,-087.6350978
17031841200,        625405,             0,+41.8555618,-087.6833420
17031841300,       1341584,         68766,+41.8439774,-087.6842025
17031841400,        238638,             0,+41.8533099,-087.7144107
17031841500,        432306,             0,+41.8616224,-087.7079132
17031841600,        159367,             0,+41.8553771,-087.7076032
17031841700,        266796,             0,+41.8531302,-087.7041818
17031841800,       1643121,             0,+41.7663063,-087.5994213
17031841900,       2564980,             0,+41.8678920,-087.6429686
17031842000,        589975,             0,+41.8349599,-087.6251704
17031842100,       2034641,             0,+41.8952785,-087.7336103
